Segment,Date,NPLRatio,Amount,SegmentName
3.  Total Commercial Banks (1+2),2010-03-31,0.025,199433.0,TotalBanks
3.  Total Commercial Banks (1+2),2010-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-06-30,0.024,188411.0,TotalBanks
3.  Total Commercial Banks (1+2),2010-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-09-30,0.0226,183003.0,TotalBanks
3.  Total Commercial Banks (1+2),2010-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-12-31,0.019,163442.0,TotalBanks
3.  Total Commercial Banks (1+2),2011-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-03-31,0.0174,161671.0,TotalBanks
3.  Total Commercial Banks (1+2),2011-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-06-30,0.0161,153704.0,TotalBanks
3.  Total Commercial Banks (1+2),2011-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-09-30,0.014499999999999999,137363.0,TotalBanks
3.  Total Commercial Banks (1+2),2011-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-12-31,0.0134,129171.0,TotalBanks
3.  Total Commercial Banks (1+2),2012-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2012-02-29,,,TotalBanks
3.  Total Commercial Banks (1+2),2012-03-31,0.0131,131346.0,TotalBanks
3.  Total Commercial Banks (1+2),2012-04-30,,,TotalBanks
