Date,Segment,Amount,NPLRatio
2018-12-01,TotalBanks,207862,0.014
2019-01-01,TotalBanks,,
2019-02-01,TotalBanks,,
2019-03-01,TotalBanks,214159,0.0141
2019-04-01,TotalBanks,,
2019-05-01,TotalBanks,,
2019-06-01,TotalBanks,217372,0.0145
2019-07-01,TotalBanks,,
2019-08-01,TotalBanks,,
2019-09-01,TotalBanks,228031,0.0149
2019-10-01,TotalBanks,,
2019-11-01,TotalBanks,,
2019-12-01,TotalBanks,234020,0.0152
2006-01-01,FinanceCompanies,,
2006-02-01,FinanceCompanies,,
2006-03-01,FinanceCompanies,,
2006-04-01,FinanceCompanies,,
2006-05-01,FinanceCompanies,,
2006-06-01,FinanceCompanies,,
2006-07-01,FinanceCompanies,,
2006-08-01,FinanceCompanies,,
2006-09-01,FinanceCompanies,,
2006-10-01,FinanceCompanies,,
2006-11-01,FinanceCompanies,,
2006-12-01,FinanceCompanies,2258,0.041
2007-01-01,FinanceCompanies,,
2007-02-01,FinanceCompanies,,
2007-03-01,FinanceCompanies,1851,0.0518
2007-04-01,FinanceCompanies,,
2007-05-01,FinanceCompanies,,
2007-06-01,FinanceCompanies,1960,0.0613
2007-07-01,FinanceCompanies,,
2007-08-01,FinanceCompanies,,
2007-09-01,FinanceCompanies,1985,0.062
2007-10-01,FinanceCompanies,,
2007-11-01,FinanceCompanies,,
2007-12-01,FinanceCompanies,1881,0.0604
2008-01-01,FinanceCompanies,,
2008-02-01,FinanceCompanies,,
2008-03-01,FinanceCompanies,1928,0.0491
2008-04-01,FinanceCompanies,,
2008-05-01,FinanceCompanies,,
2008-06-01,FinanceCompanies,1865,0.0502
2008-07-01,FinanceCompanies,,
2008-08-01,FinanceCompanies,,
2008-09-01,FinanceCompanies,1813,0.0486
2008-10-01,FinanceCompanies,,
2008-11-01,FinanceCompanies,,
2008-12-01,FinanceCompanies,1814,0.0525
2009-01-01,FinanceCompanies,,
2009-02-01,FinanceCompanies,,
2009-03-01,FinanceCompanies,1910,0.0578
2009-04-01,FinanceCompanies,,
2009-05-01,FinanceCompanies,,
2009-06-01,FinanceCompanies,1504,0.05
2009-07-01,FinanceCompanies,,
2009-08-01,FinanceCompanies,,
2009-09-01,FinanceCompanies,1182,0.0433
2009-10-01,FinanceCompanies,,
2009-11-01,FinanceCompanies,,
2009-12-01,FinanceCompanies,1841,0.0688
2010-01-01,FinanceCompanies,,
2010-02-01,FinanceCompanies,,
2010-03-01,FinanceCompanies,,
2010-04-01,FinanceCompanies,,
2010-05-01,FinanceCompanies,,
2010-06-01,FinanceCompanies,,
2010-07-01,FinanceCompanies,,
2010-08-01,FinanceCompanies,,
2010-09-01,FinanceCompanies,,
2010-10-01,FinanceCompanies,,
2010-11-01,FinanceCompanies,,
2010-12-01,FinanceCompanies,,
2011-01-01,FinanceCompanies,,
2011-02-01,FinanceCompanies,,
2011-03-01,FinanceCompanies,,
2011-04-01,FinanceCompanies,,
